keyword_text,match_type,clicks,impressions,conversions,cost_eur,conversion_value,quality_score
basketball shoes,exact,151,1674,13,645.26,2867.88,7
affordable shoes,phrase,27,925,1,81.66,123.7,7
walking shoes,broad,53,7186,1,201.09,69.75,5
shoe promotion,exact,241,1718,14,1108.64,2371.53,9
running  shoes,broad,154,6627,9,220.36,2584.65,6
shoe buying guide,broad,22,1205,1,78.8,350.0,6
narrow shoes,phrase,167,3936,11,720.28,4142.85,5
women sports shoes,broad,57,5290,5,170.65,1877.0,5
yoga shoes,phrase,68,3253,2,288.47,906.53,5
hiking shoes,phrase,291,4604,28,982.01,13547.15,5
shoe clearance,broad,217,9915,12,258.65,2644.39,4
waterproof shoes,exact,35,375,1,57.88,172.37,7
walking shoes,phrase,13,502,0,  36.35  ,0.0,5
women sports shoes,phrase,1000000,570,2,31.57,463.79,8
winter boots,exact,56,1067,0,132.35,0.0,9
shoe clearance,broad,57,7865,1,123.95,85.27,4
shoe clearance,exact,103,1162,7,119.24,3234.84,9
shoe ratings,broad,66,7037,4,186.58,1644.1,5
yoga shoes,phrase,  76  ,1614,6,157.54,2298.44,5
shoe models,phrase,136,2988,5,165.05,1412.9,5
affordable shoes,exact,67,1124,4,101.31,367.14,9
discount shoes,exact,157,1915,8,108.9,3842.06,10
 discount shoes ,exact,267,1924,8,455.8,2560.37,8
women sports shoes,phrase,137,4904,7,553.12,2651.27,6
shoe ratings,exact,208,1561,19,422.73,8134.91,10
tennis shoes,phrase,40,548,2,81.81,722.14,8
training shoes,broad,266,6928,7,510.66,1764.5,6
shoe buying guide,broad,72,3960,3,308.69,508.4,3
puma running,broad,128,7167,,134.46,1675.64,5
winter boots,exact,48,879,2,88.48,789.04,10
shoe models,phrase,149,4148,6,451.83,2861.73,8
 waterproof shoes ,phrase,"110",2752,1,145.19,347.09,5
shoe sizes,exact,64,1195,2,125.84,947.57,8
shoe shop,broad,194,8592,17,713.12,956.63,5
shoe sizes,phrase,73,1013,3,91.69,723.72,7
shoe shop,exact,98,1479,2,167.83,762.96,7
luxury shoes,broad,134,5960,7,202.15,675.17,6
shoe sale,phrase,190,2788,8,638.34,3271.97,5
leather shoes,exact,118,1267,2,333.68,221.1,10
skechers memory foam,broad,21,1615,1,17.44,54.93,4
 shoe outlet ,phrase,16,745,1,60.62,246.05,6
formal shoes,broad,53,  5983  ,0,77.06,0.0,5
training shoes,broad,111,8633,10,310.52,2258.03,4
REEBOK NANO,phrase,329,4570,24,370.62,11056.38,7
tennis shoes,exact,272,1997,11,-9999.99,2345.83,7
YOGA SHOES,broad,62,2732,2,196.4,174.49,3
shoe promotion,exact,60,887,1,266.61,438.25,8
converse all star,broad,40,2414,2,46.35,943.26,3
shoe promotion,phrase,27,961,0,98.03,0.0,8
running shoes,phrase,151,2190,6,608.75,686.12,6
shoe discount,exact,90,770,7,363.69,532.56,9
kids shoes,exact,48,611,0,144.38,0.0,8
shoe shop,broad,140,9898,8,685.2,1734.2,6
tennis shoes,broad,40,1544,3,76.43,1230.64,5
discount shoes,broad,45,5819,2,146.03,194.16,4
shoe shop,broad,116,9749,8,158.06,1938.54,3
wide fit shoes,exact,202,1923,6,453.05,384.02,8
shoe clearance,phrase,87,2078,6,96.89,573.77,5
soccer shoes,broad,38,2205,1,80.76,91.74,5
climbing shoes,phrase,88,1477,3,430.16,1228.98,5
shoe clearance,broad,123,6053,10,64.46,3286.93,4
shoe ratings,phrase,254,3680,6,1204.82,2741.9,7
yoga shoes,exact,39,529,0,161.25,0.0,7
women sports shoes,exact,59,646,0,249.35,0.0,10
adidas ultraboost,exact,113,1265,6,380.98,807.59,7
casual shoes,phrase,334,4984,23,1659.58,4338.98,7
reebok nano,phrase,103,4575,8,452.94,954.25,5
shoe promotion,exact,77,555,7,194.07,1612.26,7
shoe models,broad,242,8111,20,202.25,2945.68,5
leather shoes,exact,170,1195,2,244.3,869.78,7
luxury shoes,exact,86,1562,7,351.51,2288.08,10
summer sandals,phrase,299,3815,8,266.98,2763.45,5
shoe outlet,exact,179,1545,8,383.34,1347.5,9
marathon shoes,broad,229,9741,21,1136.06,9463.16,3
shoe shop,broad,300,9515,20,762.96,6642.29,3
affordable shoes,phrase,133,3544,10,290.02,4250.74,8
shoe reviews,phrase,104,3274,6,227.45,1625.24,5
training shoes,broad,143,3903,6,220.49,666.65,3
shoe discount,broad,833.5,8997,27,1506.87,7394.99,4
winter boots,broad,254,7819,13,513.15,2026.38,5
shoe sizes,broad,54,1864,0,116.67,0.0,4
vans sneakers,broad,108,3740,2,415.76,602.35,6
trail running shoes,phrase,132,1996,1,363.08,120.09,8
gym shoes,broad,253,9272,19,202.65,8466.1,4
crossfit shoes,phrase,288,4017,14,1414.47,791.15,5
running shoes,broad,120,6778,7,584.14,2471.1,4
affordable shoes,phrase,197,3294,13,262.2,1833.65,5
shoe discount,broad,219,8021,14,452.64,1487.72,3
gym shoes,phrase,44,1085,0,45.38,0.0,5
luxury shoes,exact,111,  1095  ,1,407.29,134.8,10
gym shoes,exact,139,1529,2,142.66,558.7,10
yoga shoes,exact,36,626,0,77.65,0.0,7
kids shoes,phrase,316,4174,326,1508.23,5441.24,8
men shoes,broad,174,9314,2,374.97,645.12,5
 soccer shoes ,exact,90,"902,00",7,379.22,1345.65,7
formal shoes,exact,130,1338,11,377.62,3597.39,8
vans sneakers,exact,71,593,6,306.7,739.18,8
waterproof shoes,phrase,155,3210,14,400.61,3449.05,8
formal shoes,exact,123,906,7,563.23,1364.62,7
online shoes,phrase,134,4844,6,164.09,1674.93,5
shoe discount,phrase,161,2425,5,738.7,1819.43,6
shoe buying guide,broad,59,2358,4,127.27,1887.15,3
converse all star,phrase,44,1551,1,104.36,170.7,7
